ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.9.0,true,user,user.effective.its.phone.country_calling_code,keyword,custom,,,User's phone number country calling code.
8.9.0,true,user,user.effective.its.phone.extension,keyword,custom,,,User's phone number extension.
8.9.0,true,user,user.effective.its.phone.national_number,keyword,custom,,,User's phone number in national format.
8.9.0,true,user,user.effective.its.phone.number,keyword,custom,,,User's phone number in international format.
8.9.0,true,user,user.effective.its.phone_verified,boolean,custom,,,User's phone number verification status.
8.9.0,true,user,user.effective.its.register_app_id,keyword,custom,,,App ID where the user registered from.
8.9.0,true,user,user.effective.its.register_source_id,keyword,custom,,,Source ID where the user registered from.
8.9.0,true,user,user.effective.its.status,keyword,custom,,,User account's status.
8.9.0,true,user,user.effective.its.traits.anonymous_id,keyword,custom,,,User's anonymous_id.
8.9.0,true,user,user.effective.its.updated_at,date,custom,,,Time when the user was updated.
8.9.0,true,user,user.effective.name,keyword,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.effective.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.effective.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.effective.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.effective.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.9.0,true,user,user.effective.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.effective.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.effective.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.9.0,true,user,user.effective.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
8.9.0,true,user,user.email,keyword,extended,,,User email address.
8.9.0,true,user,user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
8.9.0,true,user,user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
8.9.0,true,user,user.group.name,keyword,extended,,,Name of the group.
8.9.0,true,user,user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
8.9.0,true,user,user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
8.9.0,true,user,user.its.birthday,date,custom,,,User's birthday.
8.9.0,true,user,user.its.created_at,date,custom,,,Time when the user was first created.
8.9.0,true,user,user.its.delete_at,date,custom,,,The time when the user was deleted truly.
8.9.0,true,user,user.its.email_verified,boolean,custom,,,User's email verification status.
8.9.0,true,user,user.its.gender,keyword,custom,,,User's gender.
8.9.0,true,user,user.its.identities,nested,custom,,,An array includes related user information.
8.9.0,true,user,user.its.identities.user.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,user,user.its.identities.user.email,keyword,extended,,,User email address.
8.9.0,true,user,user.its.identities.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.its.identities.user.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.its.identities.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
8.9.0,true,user,user.its.identities.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
8.9.0,true,user,user.its.identities.user.group.name,keyword,extended,,,Name of the group.
8.9.0,true,user,user.its.identities.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
8.9.0,true,user,user.its.identities.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
8.9.0,true,user,user.its.identities.user.name,keyword,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.its.identities.user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.its.identities.user.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.its.identities.user.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.its.identities.user.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.9.0,true,user,user.its.identities.user.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.its.identities.user.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.its.identities.user.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.9.0,true,user,user.its.identities.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
8.9.0,true,user,user.its.is_guest,boolean,custom,,,User is guest account.
8.9.0,true,user,user.its.login_at,date,custom,,,Last time the user logged in.
8.9.0,true,user,user.its.nemo_address,keyword,custom,,,User's NEMO wallet address.
8.9.0,true,user,user.its.phone.country,keyword,custom,,,User's phone number country.
8.9.0,true,user,user.its.phone.country_calling_code,keyword,custom,,,User's phone number country calling code.
8.9.0,true,user,user.its.phone.extension,keyword,custom,,,User's phone number extension.
8.9.0,true,user,user.its.phone.national_number,keyword,custom,,,User's phone number in national format.
8.9.0,true,user,user.its.phone.number,keyword,custom,,,User's phone number in international format.
8.9.0,true,user,user.its.phone_verified,boolean,custom,,,User's phone number verification status.
8.9.0,true,user,user.its.register_app_id,keyword,custom,,,App ID where the user registered from.
8.9.0,true,user,user.its.register_source_id,keyword,custom,,,Source ID where the user registered from.
8.9.0,true,user,user.its.status,keyword,custom,,,User account's status.
8.9.0,true,user,user.its.traits.anonymous_id,keyword,custom,,,User's anonymous_id.
8.9.0,true,user,user.its.updated_at,date,custom,,,Time when the user was updated.
8.9.0,true,user,user.name,keyword,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.9.0,true,user,user.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.9.0,true,user,user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
8.9.0,true,user,user.target.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,user,user.target.email,keyword,extended,,,User email address.
8.9.0,true,user,user.target.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.target.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.target.group.domain,keyword,extended,,,Name of the directory the group is a member of.
8.9.0,true,user,user.target.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
8.9.0,true,user,user.target.group.name,keyword,extended,,,Name of the group.
8.9.0,true,user,user.target.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
8.9.0,true,user,user.target.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
8.9.0,true,user,user.target.its.birthday,date,custom,,,User's birthday.
8.9.0,true,user,user.target.its.created_at,date,custom,,,Time when the user was first created.
8.9.0,true,user,user.target.its.delete_at,date,custom,,,The time when the user was deleted truly.
8.9.0,true,user,user.target.its.email_verified,boolean,custom,,,User's email verification status.
8.9.0,true,user,user.target.its.gender,keyword,custom,,,User's gender.
8.9.0,true,user,user.target.its.identities,nested,custom,,,An array includes related user information.
8.9.0,true,user,user.target.its.identities.user.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,user,user.target.its.identities.user.email,keyword,extended,,,User email address.
8.9.0,true,user,user.target.its.identities.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.target.its.identities.user.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.target.its.identities.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
8.9.0,true,user,user.target.its.identities.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
8.9.0,true,user,user.target.its.identities.user.group.name,keyword,extended,,,Name of the group.
8.9.0,true,user,user.target.its.identities.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
8.9.0,true,user,user.target.its.identities.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
8.9.0,true,user,user.target.its.identities.user.name,keyword,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.target.its.identities.user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.target.its.identities.user.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.target.its.identities.user.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.target.its.identities.user.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.9.0,true,user,user.target.its.identities.user.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.target.its.identities.user.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.target.its.identities.user.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.9.0,true,user,user.target.its.identities.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
8.9.0,true,user,user.target.its.is_guest,boolean,custom,,,User is guest account.
8.9.0,true,user,user.target.its.login_at,date,custom,,,Last time the user logged in.
8.9.0,true,user,user.target.its.nemo_address,keyword,custom,,,User's NEMO wallet address.
8.9.0,true,user,user.target.its.phone.country,keyword,custom,,,User's phone number country.
8.9.0,true,user,user.target.its.phone.country_calling_code,keyword,custom,,,User's phone number country calling code.
8.9.0,true,user,user.target.its.phone.extension,keyword,custom,,,User's phone number extension.
8.9.0,true,user,user.target.its.phone.national_number,keyword,custom,,,User's phone number in national format.
8.9.0,true,user,user.target.its.phone.number,keyword,custom,,,User's phone number in international format.
8.9.0,true,user,user.target.its.phone_verified,boolean,custom,,,User's phone number verification status.
8.9.0,true,user,user.target.its.register_app_id,keyword,custom,,,App ID where the user registered from.
8.9.0,true,user,user.target.its.register_source_id,keyword,custom,,,Source ID where the user registered from.
8.9.0,true,user,user.target.its.status,keyword,custom,,,User account's status.
8.9.0,true,user,user.target.its.traits.anonymous_id,keyword,custom,,,User's anonymous_id.
8.9.0,true,user,user.target.its.updated_at,date,custom,,,Time when the user was updated.
8.9.0,true,user,user.target.name,keyword,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.target.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.target.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.target.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.target.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.9.0,true,user,user.target.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.target.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.target.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.9.0,true,user,user.target.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
